Year,Country_of_Asylum,Country_of_Asylum_ISO,Country_of_Asylum_ukr,Refugees,Asylum_Seekers,Country_of_Asylum_UN_Code
2018,Lithuania,LTU,Литва,64,7,440
2018,Luxembourg,LUX,Люксембург,6,20,442
2018,Hungary,HUN,Угорщина,19,0,348
2018,Greece,GRC,Греція,145,117,300
2018,Germany,DEU,Німеччина,741,3149,276
2018,Austria,AUT,Австрія,282,537,040
2019,Argentina,ARG,Аргентина,117,91,032
2019,Armenia,ARM,Вірменія,116,5,051
2019,Australia,AUS,Австралія,24,118,036
2019,Austria,AUT,Австрія,265,313,040
2019,Azerbaijan,AZE,Азербайджан,5,0,031
2019,Belarus,BLR,Білорусь,2300,98,112
2019,Belgium,BEL,Бельгія,254,105,056
2019,Bolivia (Plurinational State of),BOL,Болівія (Багатонаціональна Держава),5,0,068
2019,Brazil,BRA,Бразилія,17,79,076
2019,Bulgaria,BGR,Болгарія,0,40,100
2019,Canada,CAN,Канада,1199,307,124
2019,Costa Rica,CRI,Коста-Рика,13,0,188
2019,Croatia,HRV,Хорватія,8,0,191
2019,Cyprus,CYP,Кіпр,30,135,196
2019,Czechia,CZE,Чехія,305,146,203
2019,Denmark,DNK,Данія,28,29,208
2019,Ecuador,ECU,Еквадор,14,0,218
2019,Estonia,EST,Естонія,62,0,233
2019,Finland,FIN,Фінляндія,11,25,246
2019,France,FRA,Франція,1839,1020,250
2019,Georgia,GEO,Грузія,306,6,268
2019,Germany,DEU,Німеччина,847,2312,276
2019,Greece,GRC,Греція,151,97,300
2019,Hungary,HUN,Угорщина,15,0,348
2019,Iceland,ISL,Ісландія,18,5,352
2019,India,IND,Індія,0,9,356
2019,Ireland,IRL,Ірландія,81,33,372
2019,Israel,ISR,Ізраїль,5,5056,376
2019,Italy,ITA,Італія,6353,1189,380
2019,Jordan,JOR,Йорданія,0,19,400
2019,Kuwait,KWT,Кувейт,0,5,414
2019,Kyrgyzstan,KGZ,Киргизстан,23,0,417
2019,Liechtenstein,LIE,Ліхтенштейн,5,0,438
2019,Lithuania,LTU,Литва,64,5,440
2019,Luxembourg,LUX,Люксембург,6,25,442
2019,Malta,MLT,Мальта,142,59,470
2019,Mauritania,MRT,Мавританія,5,0,478
2019,Mexico,MEX,Мексика,17,5,484
2019,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),20,59,528
2019,Norway,NOR,Норвегія,10,15,578
2019,Panama,PAN,Панама,0,5,591
2019,Peru,PER,Перу,17,0,604
2019,Poland,POL,Польща,485,515,616
2019,Portugal,PRT,Португалія,436,93,620
2019,Rep. of Korea,KOR,Республіка Корея,14,64,410
2019,Rep. of Moldova,MDA,Республіка Молдова,53,5,498
2019,Romania,ROU,Румунія,22,5,642
2019,Russian Federation,RUS,Російська Федерація,40393,858,643
2019,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),15,0,688
2019,Slovakia,SVK,Словаччина,24,0,703
2019,Slovenia,SVN,Словенія,5,0,705
2019,South Africa,ZAF,Південна Африка,5,0,710
2019,Spain,ESP,Іспанія,631,6460,724
2019,Sweden,SWE,Швеція,223,471,752
2019,Switzerland,CHE,Швейцарія,65,50,756
2019,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,185,233,826
2019,United States of America,USA,Сполучені Штати Америки,2580,7817,840
2019,Uruguay,URY,Уругвай,11,5,858
2020,Argentina,ARG,Аргентина,118,88,032
2020,Armenia,ARM,Вірменія,115,0,051
2020,Australia,AUS,Австралія,24,97,036
2020,Austria,AUT,Австрія,251,182,040
2020,Azerbaijan,AZE,Азербайджан,5,0,031
2020,Belarus,BLR,Білорусь,2471,96,112
2020,Belgium,BEL,Бельгія,254,155,056
2020,Bolivia (Plurinational State of),BOL,Болівія (Багатонаціональна Держава),5,0,068
2020,Brazil,BRA,Бразилія,19,80,076
2020,Bulgaria,BGR,Болгарія,0,32,100
2020,Canada,CAN,Канада,1205,190,124
2020,Costa Rica,CRI,Коста-Рика,13,0,188
2020,Croatia,HRV,Хорватія,8,0,191
2020,Cyprus,CYP,Кіпр,30,139,196
2020,Czechia,CZE,Чехія,284,121,203
2020,Denmark,DNK,Данія,29,28,208
2020,Ecuador,ECU,Еквадор,15,5,218
2020,Estonia,EST,Естонія,29,0,233
2020,Finland,FIN,Фінляндія,11,43,246
2020,France,FRA,Франція,1921,1940,250
2020,Georgia,GEO,Грузія,493,13,268
2020,Germany,DEU,Німеччина,895,1519,276
2020,Greece,GRC,Греція,158,63,300
2020,Hungary,HUN,Угорщина,14,0,348
2020,Iceland,ISL,Ісландія,19,0,352
2020,India,IND,Індія,0,5,356
2020,Ireland,IRL,Ірландія,85,19,372
2020,Israel,ISR,Ізраїль,27,1829,376
2020,Italy,ITA,Італія,2920,961,380
2020,Jordan,JOR,Йорданія,0,10,400
2020,Kuwait,KWT,Кувейт,0,5,414
2020,Kyrgyzstan,KGZ,Киргизстан,21,0,417
2020,Liechtenstein,LIE,Ліхтенштейн,5,0,438
2020,Lithuania,LTU,Литва,64,5,440
2020,Luxembourg,LUX,Люксембург,5,5,442
2020,Malta,MLT,Мальта,141,44,470
2020,Mexico,MEX,Мексика,17,5,484
2020,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),21,21,528
2020,Norway,NOR,Норвегія,10,9,578
2020,Panama,PAN,Панама,0,5,591
2020,Peru,PER,Перу,17,0,604
2020,Poland,POL,Польща,416,305,616
2020,Portugal,PRT,Португалія,443,59,620
2020,Rep. of Korea,KOR,Республіка Корея,14,30,410
2020,Rep. of Moldova,MDA,Республіка Молдова,33,5,498
2020,Slovakia,SVK,Словаччина,24,0,703
2020,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),15,0,688
2020,Russian Federation,RUS,Російська Федерація,18428,148,643
2020,Romania,ROU,Румунія,20,5,642
2020,Sweden,SWE,Швеція,232,390,752
2020,Spain,ESP,Іспанія,922,4290,724
2020,South Africa,ZAF,Південна Африка,5,0,710
2020,Slovenia,SVN,Словенія,5,0,705
2020,Switzerland,CHE,Швейцарія,80,25,756
2020,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,208,228,826
2020,United States of America,USA,Сполучені Штати Америки,2581,8222,840
2020,Uruguay,URY,Уругвай,11,5,858
2021,Latvia,LVA,Латвія,0,5,428
2021,Liechtenstein,LIE,Ліхтенштейн,5,0,438
2021,Lithuania,LTU,Литва,64,5,440
2021,Luxembourg,LUX,Люксембург,5,10,442
2021,Malta,MLT,Мальта,142,54,470
2021,Mexico,MEX,Мексика,19,5,484
2021,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),34,35,528
2021,Bolivia (Plurinational State of),BOL,Болівія (Багатонаціональна Держава),5,0,068
2021,Brazil,BRA,Бразилія,20,83,076
2021,Bulgaria,BGR,Болгарія,0,6,100
2021,Canada,CAN,Канада,1228,98,124
2021,Costa Rica,CRI,Коста-Рика,13,5,188
2021,Croatia,HRV,Хорватія,8,0,191
2021,Cyprus,CYP,Кіпр,31,64,196
2021,Czechia,CZE,Чехія,225,120,203
2021,Denmark,DNK,Данія,29,14,208
2021,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),15,0,688
2021,Slovakia,SVK,Словаччина,24,0,703
2021,Slovenia,SVN,Словенія,5,0,705
2021,South Africa,ZAF,Південна Африка,5,0,710
2021,Spain,ESP,Іспанія,1515,2820,724
2021,Sweden,SWE,Швеція,226,334,752
2021,Switzerland,CHE,Швейцарія,91,29,756
2021,Hungary,HUN,Угорщина,13,0,348
2021,Iceland,ISL,Ісландія,20,0,352
2021,India,IND,Індія,0,5,356
2021,Ireland,IRL,Ірландія,79,15,372
2021,Israel,ISR,Ізраїль,27,544,376
2021,Italy,ITA,Італія,3379,680,380
2021,Jordan,JOR,Йорданія,0,9,400
2021,Kuwait,KWT,Кувейт,0,5,414
2021,Kyrgyzstan,KGZ,Киргизстан,18,0,417
2021,Belgium,BEL,Бельгія,289,155,056
2021,Azerbaijan,AZE,Азербайджан,5,0,031
2021,Belarus,BLR,Білорусь,2378,14,112
2021,Argentina,ARG,Аргентина,121,84,032
2021,United States of America,USA,Сполучені Штати Америки,2608,11404,840
2021,Uruguay,URY,Уругвай,11,6,858
2021,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,225,266,826
2021,Norway,NOR,Норвегія,13,0,578
2021,Panama,PAN,Панама,0,5,591
2021,Peru,PER,Перу,17,0,604
2021,Poland,POL,Польща,422,109,616
2021,Portugal,PRT,Португалія,447,40,620
2021,Rep. of Korea,KOR,Республіка Корея,14,24,410
2021,Rep. of Moldova,MDA,Республіка Молдова,18,7,498
2021,Romania,ROU,Румунія,17,0,642
2021,Russian Federation,RUS,Російська Федерація,8921,126,643
2021,Australia,AUS,Австралія,18,99,036
2021,Austria,AUT,Австрія,253,113,040
2021,Armenia,ARM,Вірменія,117,0,051
2021,Greece,GRC,Греція,169,99,300
2021,Estonia,EST,Естонія,28,0,233
2021,Finland,FIN,Фінляндія,11,14,246
2021,Ecuador,ECU,Еквадор,15,0,218
2021,Georgia,GEO,Грузія,481,0,268
2021,Germany,DEU,Німеччина,918,1328,276
2021,France,FRA,Франція,2801,588,250
2022,Bosnia and Herzegovina,BIH,Боснія і Герцеговина,147,0,070
2022,Ecuador,ECU,Еквадор,79,5,218
2022,France,FRA,Франція,69302,1270,250
2022,Egypt,EGY,Єгипет,0,5,818
2022,Estonia,EST,Естонія,40298,518,233
2022,Finland,FIN,Фінляндія,44953,553,246
2022,Italy,ITA,Італія,149872,1878,380
2022,Japan,JPN,Японія,2013,0,392
2022,Jordan,JOR,Йорданія,0,10,400
2022,Kazakhstan,KAZ,Казахстан,0,550,398
2022,Kyrgyzstan,KGZ,Киргизстан,14,10,417
2022,Latvia,LVA,Латвія,37800,10,428
2022,Lebanon,LBN,Ліван,0,16,422
2022,Chile,CHL,Чилі,46,53,152
2022,China,CHN,Китай,0,18,156
2022,Colombia,COL,Колумбія,8,21,170
2022,Costa Rica,CRI,Коста-Рика,13,40,188
2022,Croatia,HRV,Хорватія,19416,0,191
2022,Cyprus,CYP,Кіпр,12472,94,196
2022,Czechia,CZE,Чехія,433501,137,203
2022,Denmark,DNK,Данія,32839,867,208
2022,Dominican Rep.,DOM,Домініканська Республіка,0,14,214
2022,Nigeria,NGA,Нігерія,0,5,566
2022,North Macedonia,MKD,Північна Македонія,6816,0,807
2022,Norway,NOR,Норвегія,33243,10,578
2022,Panama,PAN,Панама,11,10,591
2022,Paraguay,PRY,Парагвай,9,0,600
2022,Peru,PER,Перу,29,7,604
2022,Philippines,PHL,Філіппіни,0,14,608
2022,Ghana,GHA,Гана,0,5,288
2022,Greece,GRC,Греція,21827,104,300
2022,Guatemala,GTM,Гватемала,0,5,320
2022,Hungary,HUN,Угорщина,29632,5,348
2022,Iceland,ISL,Ісландія,2335,0,352
2022,India,IND,Індія,0,58,356
2022,Iraq,IRQ,Ірак,0,5,368
2022,Ireland,IRL,Ірландія,70578,238,372
2022,Israel,ISR,Ізраїль,30,384,376
2022,Spain,ESP,Іспанія,159194,1515,724
2022,Sweden,SWE,Швеція,46857,989,752
2022,Switzerland,CHE,Швейцарія,60162,109,756
2022,Tunisia,TUN,Туніс,0,29,788
2022,TГјrkiye,TUR,Туреччина,2768,2189,792
2022,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,182423,976,826
2022,United States of America,USA,Сполучені Штати Америки,3063,12369,840
2022,Liechtenstein,LIE,Ліхтенштейн,402,0,438
2022,Lithuania,LTU,Литва,65175,0,440
2022,Luxembourg,LUX,Люксембург,4500,25,442
2022,Malta,MLT,Мальта,1765,54,470
2022,Mexico,MEX,Мексика,31,149,484
2022,Montenegro,MNE,Чорногорія,32346,5,499
2022,Nepal,NPL,Непал,0,5,524
2022,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),102643,1059,528
2022,New Zealand,NZL,Нова Зеландія,5,17,554
2022,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),1108,0,688
2022,Russian Federation,RUS,Російська Федерація,1275315,610,643
2022,Romania,ROU,Румунія,100086,42,642
2022,Rep. of Moldova,MDA,Республіка Молдова,98910,3194,498
2022,Rep. of Korea,KOR,Республіка Корея,17,22,410
2022,Portugal,PRT,Португалія,44960,29,620
2022,Poland,POL,Польща,958147,372,616
2022,Albania,ALB,Албанія,2542,5,008
2022,Australia,AUS,Австралія,1527,502,036
2022,Germany,DEU,Німеччина,1002999,1383,276
2022,Georgia,GEO,Грузія,26446,52,268
2022,Brazil,BRA,Бразилія,43,65,076
2022,Canada,CAN,Канада,75098,196,124
2022,Bolivia (Plurinational State of),BOL,Болівія (Багатонаціональна Держава),5,0,068
2022,Bulgaria,BGR,Болгарія,149215,16,100
2022,Azerbaijan,AZE,Азербайджан,4770,77,031
2022,Slovenia,SVN,Словенія,7748,16,705
2022,Slovakia,SVK,Словаччина,94858,0,703
2022,Belarus,BLR,Білорусь,19384,532,112
2022,Belgium,BEL,Бельгія,61975,685,056
2022,Austria,AUT,Австрія,89862,249,040
2022,Argentina,ARG,Аргентина,121,59,032
2022,Armenia,ARM,Вірменія,406,122,051
2022,Uruguay,URY,Уругвай,18,0,858
2023,Bulgaria,BGR,Болгарія,68276,5,100
2023,Estonia,EST,Естонія,41463,294,233
2023,France,FRA,Франція,68181,1866,250
2023,Finland,FIN,Фінляндія,63503,327,246
2023,Germany,DEU,Німеччина,1097503,1640,276
2023,Ghana,GHA,Гана,0,5,288
2023,Greece,GRC,Греція,27043,70,300
2023,Georgia,GEO,Грузія,24751,30,268
2023,Jordan,JOR,Йорданія,0,5,400
2023,Kazakhstan,KAZ,Казахстан,68,207,398
2023,Kyrgyzstan,KGZ,Киргизстан,13,22,417
2023,Latvia,LVA,Латвія,44307,5,428
2023,Lebanon,LBN,Ліван,0,19,422
2023,Libya,LBY,Лівія,0,5,434
2023,Liechtenstein,LIE,Ліхтенштейн,577,0,438
2023,Albania,ALB,Албанія,4959,0,008
2023,Argentina,ARG,Аргентина,121,39,032
2023,Bolivia (Plurinational State of),BOL,Болівія (Багатонаціональна Держава),7,10,068
2023,Brazil,BRA,Бразилія,1129,30,076
2023,Bosnia and Herzegovina,BIH,Боснія і Герцеговина,185,8,070
2023,Chile,CHL,Чилі,67,43,152
2023,Canada,CAN,Канада,75055,191,124
2023,China,CHN,Китай,0,20,156
2023,Belgium,BEL,Бельгія,75260,0,056
2023,North Macedonia,MKD,Північна Македонія,18703,0,807
2023,Norway,NOR,Норвегія,66450,948,578
2023,Panama,PAN,Панама,19,5,591
2023,Paraguay,PRY,Парагвай,9,0,600
2023,Peru,PER,Перу,30,90,604
2023,Philippines,PHL,Філіппіни,0,45,608
2023,Poland,POL,Польща,955891,1005,616
2023,Guatemala,GTM,Гватемала,0,5,320
2023,Hungary,HUN,Угорщина,57401,0,348
2023,Iceland,ISL,Ісландія,5425,25,352
2023,India,IND,Індія,0,66,356
2023,Iraq,IRQ,Ірак,0,5,368
2023,Ireland,IRL,Ірландія,100545,291,372
2023,Israel,ISR,Ізраїль,31,306,376
2023,Italy,ITA,Італія,164667,1331,380
2023,Japan,JPN,Японія,2077,0,392
2023,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),105338,1290,528
2023,Nepal,NPL,Непал,0,6,524
2023,Montenegro,MNE,Чорногорія,64640,0,499
2023,Mexico,MEX,Мексика,85,126,484
2023,Malta,MLT,Мальта,2192,89,470
2023,Luxembourg,LUX,Люксембург,5365,40,442
2023,Lithuania,LTU,Литва,77340,5,440
2023,Colombia,COL,Колумбія,8,24,170
2023,Costa Rica,CRI,Коста-Рика,13,44,188
2023,Armenia,ARM,Вірменія,599,46,051
2023,Australia,AUS,Австралія,7472,809,036
2023,Azerbaijan,AZE,Азербайджан,4206,107,031
2023,Austria,AUT,Австрія,83748,68,040
2023,Belarus,BLR,Білорусь,39645,282,112
2023,Ecuador,ECU,Еквадор,92,0,218
2023,Egypt,EGY,Єгипет,0,9,818
2023,Nigeria,NGA,Нігерія,0,5,566
2023,New Zealand,NZL,Нова Зеландія,10,14,554
2023,Dominican Rep.,DOM,Домініканська Республіка,6,12,214
2023,Denmark,DNK,Данія,35940,749,208
2023,Czechia,CZE,Чехія,374247,100,203
2023,Cyprus,CYP,Кіпр,19019,111,196
2023,Croatia,HRV,Хорватія,23733,0,191
2023,Slovakia,SVK,Словаччина,124962,0,703
2023,Sweden,SWE,Швеція,43467,1111,752
2023,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),4063,0,688
2023,Russian Federation,RUS,Російська Федерація,1227554,257,643
2023,Romania,ROU,Румунія,81493,6,642
2023,Rep. of Moldova,MDA,Республіка Молдова,120564,131,498
2023,Rep. of Korea,KOR,Республіка Корея,20,29,410
2023,Portugal,PRT,Португалія,51566,17,620
2023,Spain,ESP,Іспанія,191327,1145,724
2023,Uruguay,URY,Уругвай,18,0,858
2023,Slovenia,SVN,Словенія,9467,47,705
2023,United States of America,USA,Сполучені Штати Америки,3299,17773,840
2023,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,225497,327,826
2023,TГјrkiye,TUR,Туреччина,3232,0,792
2023,Tunisia,TUN,Туніс,0,21,788
2023,Switzerland,CHE,Швейцарія,66419,225,756
2024,Armenia,ARM,Вірменія,706,63,051
2024,Australia,AUS,Австралія,34,1019,036
2024,Austria,AUT,Австрія,84987,56,040
2024,Azerbaijan,AZE,Азербайджан,4906,206,031
2024,Belarus,BLR,Білорусь,43114,1199,112
2024,Belgium,BEL,Бельгія,85635,887,056
2024,Bolivia (Plurinational State of),BOL,Болівія (Багатонаціональна Держава),7,9,068
2024,Bosnia and Herzegovina,BIH,Боснія і Герцеговина,267,5,070
2024,Brazil,BRA,Бразилія,1330,34,076
2024,Bulgaria,BGR,Болгарія,74322,5,100
2024,Canada,CAN,Канада,75221,824,124
2024,Chile,CHL,Чилі,67,45,152
2024,China,CHN,Китай,0,18,156
2024,Colombia,COL,Колумбія,9,25,170
2024,Costa Rica,CRI,Коста-Рика,35,18,188
2024,Croatia,HRV,Хорватія,27256,11,191
2024,Cyprus,CYP,Кіпр,21875,85,196
2024,Czechia,CZE,Чехія,388388,126,203
2024,Denmark,DNK,Данія,36058,640,208
2024,Dominican Rep.,DOM,Домініканська Республіка,5,28,214
2024,Ecuador,ECU,Еквадор,102,8,218
2024,Egypt,EGY,Єгипет,0,10,818
2024,Estonia,EST,Естонія,41729,98,233
2024,Finland,FIN,Фінляндія,68589,197,246
2024,France,FRA,Франція,68929,6296,250
2024,Georgia,GEO,Грузія,29914,85,268
2024,Germany,DEU,Німеччина,1205729,1830,276
2024,Ghana,GHA,Гана,0,5,288
2024,Greece,GRC,Греція,32830,61,300
2024,Guatemala,GTM,Гватемала,5,0,320
2024,Hungary,HUN,Угорщина,62987,0,348
2024,Malta,MLT,Мальта,2591,110,470
2024,Mexico,MEX,Мексика,102,130,484
2024,Iceland,ISL,Ісландія,4029,27,352
2024,India,IND,Індія,0,89,356
2024,Iraq,IRQ,Ірак,0,5,368
2024,Ireland,IRL,Ірландія,109081,451,372
2024,Israel,ISR,Ізраїль,39,262,376
2024,Italy,ITA,Італія,167780,1875,380
2024,Japan,JPN,Японія,2058,0,392
2024,Kazakhstan,KAZ,Казахстан,99,146,398
2024,Kenya,KEN,Кенія,0,5,404
2024,Kyrgyzstan,KGZ,Киргизстан,21,30,417
2024,Latvia,LVA,Латвія,47687,5,428
2024,Lebanon,LBN,Ліван,0,15,422
2024,Liechtenstein,LIE,Ліхтенштейн,727,0,438
2024,Lithuania,LTU,Литва,50641,10,440
2024,Luxembourg,LUX,Люксембург,3747,40,442
2024,Montenegro,MNE,Чорногорія,18558,0,499
2024,Morocco,MAR,Марокко,0,5,504
2024,Nepal,NPL,Непал,0,8,524
2024,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),118974,564,528
2024,New Zealand,NZL,Нова Зеландія,23,5,554
2024,Nigeria,NGA,Нігерія,0,5,566
2024,North Macedonia,MKD,Північна Македонія,20741,0,807
2024,Norway,NOR,Норвегія,79112,877,578
2024,Panama,PAN,Панама,21,5,591
2024,Paraguay,PRY,Парагвай,9,5,600
2024,Peru,PER,Перу,31,109,604
2024,Philippines,PHL,Філіппіни,0,48,608
2024,Poland,POL,Польща,991223,3448,616
2024,Portugal,PRT,Португалія,57141,16,620
2024,Rep. of Korea,KOR,Республіка Корея,23,37,410
2024,Uruguay,URY,Уругвай,18,5,858
2024,Albania,ALB,Албанія,9250,0,008
2024,Rep. of Moldova,MDA,Республіка Молдова,135486,375,498
2024,Romania,ROU,Румунія,177996,5,642
2024,Russian Federation,RUS,Російська Федерація,6894,149,643
2024,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),10719,0,688
2024,Slovakia,SVK,Словаччина,142172,10,703
2024,Slovenia,SVN,Словенія,11296,127,705
2024,South Africa,ZAF,Південна Африка,5,5,710
2024,Spain,ESP,Іспанія,222544,1010,724
2024,Sweden,SWE,Швеція,45993,151,752
2024,Switzerland,CHE,Швейцарія,66894,639,756
2024,Tunisia,TUN,Туніс,0,6,788
2024,TГјrkiye,TUR,Туреччина,2616,0,792
2024,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,255141,945,826
2024,United Rep. of Tanzania,TZA,Об'єднана Республіка Танзанія,0,13,834
2024,United States of America,USA,Сполучені Штати Америки,3397,18658,840
2024,Argentina,ARG,Аргентина,121,26,032
2025,Poland,POL,Польща,995247,5785,616
2025,Peru,PER,Перу,31,110,604
2025,Philippines,PHL,Філіппіни,0,53,608
2025,Panama,PAN,Панама,21,5,591
2025,Norway,NOR,Норвегія,79577,967,578
2025,North Macedonia,MKD,Північна Македонія,20741,0,807
2025,Paraguay,PRY,Парагвай,10,11,600
2025,Netherlands (Kingdom of the),NLD,Нідерланди (Королівство),123542,399,528
2025,Nepal,NPL,Непал,0,8,524
2025,Morocco,MAR,Марокко,0,5,504
2025,Montenegro,MNE,Чорногорія,18992,5,499
2025,Mexico,MEX,Мексика,118,68,484
2025,Malta,MLT,Мальта,2335,90,470
2025,Guatemala,GTM,Гватемала,5,5,320
2025,New Zealand,NZL,Нова Зеландія,18,5,554
2025,China,CHN,Китай,0,18,156
2025,South Africa,ZAF,Південна Африка,0,5,710
2025,United States of America,USA,Сполучені Штати Америки,3397,18658,840
2025,United Rep. of Tanzania,TZA,Об'єднана Республіка Танзанія,0,12,834
2025,United Kingdom of Great Britain and Northern Ireland,GBR,Сполучене Королівство Великої Британії та Північної Ірландії,262436,1311,826
2025,TГјrkiye,TUR,Туреччина,2399,0,792
2025,Switzerland,CHE,Швейцарія,67906,895,756
2025,Sweden,SWE,Швеція,44075,139,752
2025,Spain,ESP,Іспанія,237005,1035,724
2025,Russian Federation,RUS,Російська Федерація,6121,163,643
2025,Slovenia,SVN,Словенія,10620,138,705
2025,Slovakia,SVK,Словаччина,143836,10,703
2025,Serbia and Kosovo: S/RES/1244 (1999),SRB,Сербія та Косово: S/RES/1244 (1999),14057,0,688
2025,Rep. of Moldova,MDA,Республіка Молдова,132775,186,498
2025,Romania,ROU,Румунія,186040,0,642
2025,Rep. of Korea,KOR,Республіка Корея,23,39,410
2025,Greece,GRC,Греція,36268,61,300
2025,Albania,ALB,Албанія,10763,0,008
2025,Argentina,ARG,Аргентина,121,32,032
2025,Armenia,ARM,Вірменія,4768,24,051
2025,Australia,AUS,Австралія,3520,1272,036
2025,Austria,AUT,Австрія,84785,52,040
2025,Azerbaijan,AZE,Азербайджан,4893,150,031
2025,Belarus,BLR,Білорусь,41557,1255,112
2025,Belgium,BEL,Бельгія,89072,638,056
2025,Benin,BEN,Бенін,0,5,204
2025,Bolivia (Plurinational State of),BOL,Болівія (Багатонаціональна Держава),7,9,068
2025,Bosnia and Herzegovina,BIH,Боснія і Герцеговина,293,5,070
2025,Brazil,BRA,Бразилія,1459,26,076
2025,Bulgaria,BGR,Болгарія,67875,5,100
2025,Canada,CAN,Канада,232381,1115,124
2025,Luxembourg,LUX,Люксембург,3648,50,442
2025,Chile,CHL,Чилі,68,51,152
2025,Colombia,COL,Колумбія,9,0,170
2025,Costa Rica,CRI,Коста-Рика,34,15,188
2025,Uruguay,URY,Уругвай,18,5,858
2025,Cyprus,CYP,Кіпр,23853,43,196
2025,Czechia,CZE,Чехія,378251,117,203
2025,Denmark,DNK,Данія,39279,641,208
2025,Croatia,HRV,Хорватія,26873,11,191
2025,Ecuador,ECU,Еквадор,110,7,218
2025,Egypt,EGY,Єгипет,0,10,818
2025,Estonia,EST,Естонія,40901,151,233
