Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote_ukr
2022,Russian Federation, ,RUS,GLOBAL,REF,"Цифра по Російській Федерації включає 65,4 тис. українців, яким надано статус біженця чи тимчасового притулку, а також зафіксованих в країні в 2022 році за іншими формами перебування."
2020,Ukraine, ,UKR,GLOBAL,STA,"Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 5815 осіб, які перебувають на обліку МВС України як особи без громадянства."
2024,Russian Federation, ,RUS,GLOBAL,REF,"У цифру по Російській Федерації входять 6894 українці, які отримали статус біженця або тимчасового притулку до кінця 2024 року. Більше того, станом на середину 2023 року приблизно 1,2 мільйона українців були зареєстровані в Російській Федерації за різними правовими формами перебування (крім статусу біженця чи тимчасового притулку) і повідомлені УВКБ ООН як особи, що перебувають у ситуації, подібній до біженця. Однак ця цифра не оновлювалася з червня 2023 року, і тому більше не може бути включена до офіційної статистики УВКБ ООН на кінець 2024 року."
2025, ,Ukraine,GLOBAL,UKR,OOC,"Інша цифра, що викликає занепокоєння, відповідає кількості постраждалих від конфлікту непереміщених осіб, яким УВКБ ООН допомогло протягом року"
2024, ,Ukraine,GLOBAL,UKR,"REF,ASY,IDP,STA,OOC,HST,OIP","Тимчасовий захист, наданий українцям, не обов’язково означає нове переміщення, оскільки він може включати повторне звернення або повторну активацію від біженців, яким уже надано статус біженця після тимчасових візитів в Україну, а також повторну реєстрацію в різних країнах. Крім того, українці, яким надано тимчасовий захист, також можуть подавати індивідуальні заяви про надання притулку. Див. Ситуація з біженцями в Україні: переміщення населення, Інформаційний лист №2, УВКБ ООН (https://data.unhcr.org/en/documents/details/114591)."
2018,Ukraine, ,UKR,GLOBAL,STA,"Цифра є екстраполяцією даних перепису 2001 року щодо осіб, які заявили, що не мають громадянства. До нього входять 5650 осіб, які перебувають на обліку МВС України як особи без громадянства."
2022,Bosnia and Herzegovina, ,BIH,GLOBAL,REF,"Станом на середину 2022 року в Україні перебувало 234 громадянина України, 73 з яких отримали захист, ще 73 – тимчасово проживали з гуманітарних причин і 161 – безвізово."
2022,Canada,Ukraine,CAN,UKR,REF,"Посилається на людей, які перебувають у ситуаціях, схожих на біженців."
2022, ,Ukraine,GLOBAL,UKR,OOC,"Інші цифри, що викликають занепокоєння, на кінець 2022 року відповідають кількості постраждалих від конфлікту непереміщених осіб, яким УВКБ ООН допомогло протягом року."
2023,Russian Federation,Ukraine,RUS,UKR,REF,"Цифра по Російській Федерації включає 1,2 мільйона українців, які отримали статус біженця або тимчасового притулку, а також зафіксованих в країні в 2023 році за іншими формами перебування."
2021,Ukraine, ,UKR,GLOBAL,STA,"Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 6047 осіб, які перебувають на обліку МВС України як особи без громадянства."
2024, ,Ukraine,GLOBAL,UKR,REF,"З лютого 2022 року низка українців потрапили в країни за межі Європи, де перебувають у різних легальних статусах. Дивіться Портал оперативних даних УВКБ ООН щодо ситуації в Україні, щоб отримати актуальну статистику біженців з України, зареєстровану в Європі та за її межами."
2023,Ukraine, ,UKR,GLOBAL,STA,"Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 5700 осіб, які перебувають на обліку МВС України як особи без громадянства."
2024,Ukraine, ,UKR,GLOBAL,STA,"Що стосується статистики осіб без громадянства, зменшення повідомлених цифр безгромадянства за 2024 рік пов’язане з переглядом методології та використанням доступних актуальних джерел даних. Фактичний масштаб безгромадянства, однак, невизначений і, ймовірно, вищий через триваючу війну, тимчасову окупацію та масштабне примусове переміщення."
2023,Bulgaria, ,BGR,GLOBAL,REF,"Офіційних даних про фактичну кількість біженців, які проживають у Болгарії, немає. Оцінка включає 68 300 українців, які отримали тимчасовий захист, та 29 400 інших біженців."
2025,Montenegro, ,MNE,GLOBAL,REF,"Оцінки кількості українців у ситуації, подібній до біженців у Чорногорії, ґрунтуються на даних про в’їзд та виїзд, щоб оцінити кількість українців у Чорногорії, які не подали/отримали статус ТП, але прибули до Чорногорії після лютого 2022 року."
2019, ,Ukraine,GLOBAL,UKR,IDP,"Показник внутрішньо переміщених осіб узгоджено з міжвідомчою методологією, як визначено в Огляді гуманітарних потреб на 2020 рік. Кількість інших, що викликають занепокоєння, стосується осіб, які потребують особливого захисту та проживають на непідконтрольних уряду територіях або в межах 20 км від лінії зіткнення на підконтрольних уряду територіях."
2020, ,Ukraine,GLOBAL,UKR,IDP,"Показник внутрішньо переміщених осіб узгоджено з міжвідомчою методологією, як визначено в Огляді гуманітарних потреб на 2020 рік. Кількість інших, що викликають занепокоєння, стосується осіб, які потребують особливого захисту та проживають на непідконтрольних уряду територіях або в межах 20 км від лінії зіткнення на підконтрольних уряду територіях."
2025,Ukraine, ,UKR,GLOBAL,STA,"Повідомлені цифри безгромадянства на середину 2025 року базуються на доступних та актуальних джерелах даних. Фактичний масштаб безгромадянства, однак, невизначений і, ймовірно, вищий через триваючу війну, тимчасову окупацію та масштабне примусове переміщення."
2025,Bulgaria, ,BGR,GLOBAL,REF,"Офіційних даних про фактичну кількість біженців, які проживають у Болгарії, немає. Загальна кількість повідомлених осіб включає 67 725 біженців з України з дійсною реєстрацією тимчасового захисту та приблизно 34 875 інших біженців."
2018,Ukraine,Ukraine,UKR,UKR,IDP,"Цифра ВПО в Україні включає 700 тисяч людей, які перебувають у ситуації, подібній до ВПО."
2022,United States of America, ,USA,GLOBAL,"REF,ASY,IDP,STA,OOC,HST,OIP","Сполучені Штати Америки також запропонували тимчасовий статус за певних обставин людям, які потребують міжнародного захисту. Наприклад, у 2022 році значна кількість українців та їхніх найближчих родичів отримали тимчасовий захист на гуманітарних засадах у США. УВКБ ООН обговорює з урядом США спосіб найкращого відображення таких даних для всіх відповідних груп населення в майбутніх циклах звітності."
2021,Ukraine, ,UKR,GLOBAL,IDP,"Показник внутрішньо переміщених осіб було узгоджено з міжвідомчою методологією, як визначено в Огляді гуманітарних потреб на 2022 рік, включаючи покращення оцінки людей, переміщених на підконтрольних уряду територіях, за територією. Інша цифра, що викликає занепокоєння, стосується осіб, які потребують особливого захисту та проживають на непідконтрольних уряду територіях."
