Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Footnote_ukr
2021,Belgium, ,BEL,,"REF,ASY,IDP,STA,OOC,HST,OIP","The data is based on the registered population as of end-2020, as data for 2021 was not available at time of publication apart from the data on asylum-seekers, which was sourced from Eurostat, and resettlement which was sourced from the Federal Agency for the Reception of Asylum Seekers.","Дані базуються на зареєстрованому населенні станом на кінець 2020 року, оскільки дані за 2021 рік були недоступні на момент публікації, окрім даних щодо шукачів притулку, отриманих від Євростату, та даних про переселення, отриманих від Федерального агентства з прийому шукачів притулку."
2020,United Kingdom of Great Britain and Northern Ireland, ,GBR,,STA,"The UK's statelessness figure shows the number of stateless individuals recognized through the UK's stateless determination procedure since it began in 2013. Since 2019, the total figure has been corrected to only include initial grants of leave following individuals’ recognition as stateless.","Показник безгромадянства у Великій Британії показує кількість осіб без громадянства, визнаних за допомогою процедури визначення осіб без громадянства у Великій Британії з моменту її початку в 2013 році. З 2019 року загальну цифру було виправлено, щоб включати лише перші надання відпустки після визнання осіб особами без громадянства."
2024 - 2025,Greece, ,GRC,,STA,"With regards to stateless statistics, the figure for non-displaced stateless is based on results from the 2021 Population Census, deducting the figures of stateless refugees and stateless asylum-seekers.","Що стосується статистики осіб без громадянства, то кількість непереміщених осіб без громадянства базується на результатах перепису населення 2021 року за вирахуванням біженців без громадянства та шукачів притулку без громадянства."
2018,Myanmar, ,MMR,,STA,"The figure of persons of concern under the statelessness mandate relates to stateless persons in Rakhine state and persons of undetermined nationality residing in other states in Myanmar.The figure of stateless persons in Rakhine state has been estimated on the basis of the 2014 census report and 2017 General Administration Department (GAD) of Ministry of Home Affairs (MoHA) data. It does not include an estimated 125,000 stateless IDPs who are also of concern under the statelessness mandate because they are already included within the IDP figures. In Rakhine State, the  total number of stateless persons were estimated to be approximately one million in 2014 according to the Government census report.Revisions have been made to take into account the number of stateless persons who fled to Bangladesh during 2017. The number of remaining stateless persons residing in Maungdaw area as of end of December 2017 is highly uncertain as no reliable comprehensive data is available and access has been severely constrained.Outside of Rakhine state, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, and whose citizenship has not yet been confirmed.","Кількість осіб без громадянства згідно з мандатом щодо осіб без громадянства стосується осіб без громадянства в штаті Ракхайн та осіб невизначеного громадянства, які проживають в інших штатах М’янми. Кількість осіб без громадянства в штаті Ракхайн було оцінено на основі звіту про перепис населення 2014 року та даних Департаменту загальної адміністрації (GAD) Міністерства внутрішніх справ (MoHA) за 2017 рік. Він не включає приблизно 125 000 ВПО без громадянства, які також підпадають під занепокоєння згідно з мандатом щодо безгромадянства, оскільки вони вже включені до цифр ВПО. Відповідно до урядового звіту про перепис населення в штаті Ракхайн у 2014 році загальна кількість осіб без громадянства становила приблизно один мільйон осіб. Було внесено зміни, щоб врахувати кількість осіб без громадянства, які втекли до Бангладеш у 2017 році. Кількість осіб без громадянства, які залишилися проживати в районі Маунгдо станом на кінець грудня 2017 року, є дуже невизначеною, оскільки немає достовірних вичерпних даних, а доступ був дуже обмеженим. constrained. За межами штату Ракхайн цифра осіб з невизначеним громадянством (25 939) базується на урядових даних, оприлюднених 27 грудня 2016 року, із зазначенням кількості осіб, які мають посвідчення особи для національної перевірки та чиє громадянство ще не підтверджено."
2025,Canada, ,CAN,,REF,"Naturalization figures refer to the admission of protected persons as permanent residents of Canada. Mid-year stock refers to protected persons who are yet to acquire permanent resident status. Updated figures for the number of Ukrainians within the Canada-Ukraine authorization for emergency travel (CUAET) program led to an increase of 158,600 from the previously reported figure of people in a refugee-like situation to 242,100.","Цифри натуралізації стосуються допуску осіб, які перебувають під захистом, як постійних жителів Канади. Середньорічна кількість стосується осіб, які перебувають під захистом, які ще не набули статусу постійного резидента. Оновлені дані щодо кількості українців у рамках канадсько-української програми дозволу на екстрені поїздки (CUAET) призвели до збільшення на 158 600 осіб у порівнянні з раніше зареєстрованою цифрою людей у ​​ситуації, схожій на біженців, до 242 100."
2018,Albania, ,ALB,,STA,Figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2018.,"Цифра відноситься до перепису 2011 року та була скоригована, щоб відобразити кількість осіб з невизначеним громадянством, які підтвердили своє громадянство в 2011-2018 роках."
2019 - 2024,Albania, ,ALB,,"REF,",Refugees includes people in refugee-like situations,"До біженців належать люди, які перебувають у ситуації, подібній до біженців"
2024,Thailand, ,THA,,REF,"In Thailand, the number of new refugee arrivals is not available, but the Operation Centre for Displaced Persons, Ministry of Interior of Thailand, estimates that 52,000 refugees fled Myanmar and subsequently returned home from Thailand’s Temporary Safety Areas.","У Таїланді кількість нових біженців невідома, але Оперативний центр для переміщених осіб Міністерства внутрішніх справ Таїланду оцінює, що 52 000 біженців втекли з М’янми та згодом повернулися додому з тимчасових зон безпеки Таїланду."
2025,Norway, ,NOR,,REF,"With regards to refugee statistics, the number of recognized refugees in Norway are based on data reported by authorities of persons with valid residence permits for asylum as of 1 January 2025, adding increases (e.g. recognitions, resettlement) and deducting decreases (e.g. refugee status cessation and naturalizations) during the first half of 2025 as reported by authorities, and adding the stock of temporary protection holders in Norway by mid-2025.","Щодо статистики біженців, кількість визнаних біженців у Норвегії базується на даних, наданих органами влади щодо осіб, які мають дійсний дозвіл на проживання для отримання притулку станом на 1 січня 2025 року, додаючи збільшення (наприклад, визнання, переселення) і вираховуючи зменшення (наприклад, припинення статусу біженця та натуралізацію) протягом першої половини 2025 року, як повідомляють органи влади, і додавання кількість тих, хто має тимчасовий захист, у Норвегії до середини 2025 року."
2022,Pakistan, ,PAK,,REF,"The 1.7 million refugees includes around 1,316,800 registered refugees, around 140,900 unregistered members of registered families who were being verified at the time of reporting and were recorded through the documentation renewal and information verification exercise (DRIVE) and around 286,100 Afghans who arrived in the country on or after 1 January 2021.","1,7 мільйона біженців включають близько 1 316 800 зареєстрованих біженців, близько 140 900 незареєстрованих членів зареєстрованих сімей, які перевірялися на момент подання звіту та були зареєстровані в ході оновлення документів і перевірки інформації (DRIVE), а також близько 286 100 афганців, які прибули в країну 1 січня 2021 року або пізніше."
2023,Tajikistan, ,TJK,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 3,000 people of various origins in Tajikistan who may be in need of international protection.","На підставі інформації, оприлюдненої в ЗМІ, а також діяльності УВКБ ООН з моніторингу захисту, УВКБ ООН оцінює, що в Таджикистані знаходяться 3000 осіб різного походження, які можуть потребувати міжнародного захисту."
2022,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 6,176 persons who are registered as stateless by the Ministry of the Interior of Ukraine.","Цифри, надані в Україні, є екстраполяцією перепису 2001 року осіб, які заявили, що не мають громадянства. До нього входять 6176 осіб, які перебувають на обліку МВС України як особи без громадянства."
2023,Kazakhstan, ,KAZ,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 42,412 people of various origins in Kazakhstan who may be in need of international protection.","На підставі інформації, оприлюдненої в ЗМІ, а також діяльності УВКБ ООН з моніторингу захисту, УВКБ ООН вважає, що в Казахстані перебуває 42 412 осіб різного походження, які можуть потребувати міжнародного захисту."
2021,Spain, ,ESP,,REF,"The overall figures for Spain include refugee status (11%), subsidiary protection (16%) and humanitarian reasons (73%).","Загальні цифри для Іспанії включають статус біженця (11%), додатковий захист (16%) і гуманітарні причини (73%)."
2022,Ukraine, ,UKR,,"REF,ASY,IDP,STA,OOC,HST,OIP","UNHCR continues to report on the 2,534 refugees and 36,241 stateless people until their status and whereabouts can be ascertained. For asylum-seekers, end of year figures account also for those who confirmed their spontaneous departure to UNHCR from February 2022. The others of concern figure at end-2022 corresponds to the number of conflict-affected, non-displaced people assisted by UNHCR during the year.","УВКБ ООН продовжує повідомляти про 2 534 біженців і 36 241 особу без громадянства, поки не буде встановлено їхній статус і місцезнаходження. Для шукачів притулку дані на кінець року також враховують тих, хто підтвердив свій спонтанний виїзд до УВКБ ООН з лютого 2022 року. Інші дані, що викликають занепокоєння, на кінець 2022 року відповідають кількості постраждалих від конфлікту непереміщених осіб, яким УВКБ ООН допомогло протягом року."
2018,Bangladesh, ,BGD,,STA,"The figure reported under “Stateless people including displaced Rohingya population from Myanmar” relates to stateless persons who are also refugees from Myanmar, mainly from Rakhine State. This figure exceptionally includes 906,635 stateless refugees who are also counted in the column under “Refugees” in Annex Table 1. UNHCR’s statistical reporting currently follows a methodology that reports on one legal status as a person of concern only. However, due to the extraordinary size of the newly displaced stateless population in Bangladesh, UNHCR considered it important to reflect, on an exceptional basis, the dual status that this population group possesses as both refugees and stateless persons as to do otherwise might convey the mistaken impression that the overall number of stateless persons has declined significantly.","Цифра, наведена в розділі «Люди без громадянства, включаючи переміщене населення рохінджа з М’янми», стосується осіб без громадянства, які також є біженцями з М’янми, переважно зі штату Ракхайн. Ця цифра включає лише 906 635 біженців без громадянства, які також враховані в колонці «Біженці» в таблиці 1 Додатку. Статистична звітність УВКБ ООН наразі дотримується методології, яка звітує лише про один правовий статус особи, що є предметом піклування. Однак через надзвичайну чисельність новопереміщеного населення без громадянства в Бангладеш УВКБ ООН визнало важливим відобразити, у виняткових випадках, подвійний статус, який має ця група населення як біженців, так і осіб без громадянства, оскільки в іншому випадку може створитися помилкове враження, що загальна кількість осіб без громадянства значно скоротилася."
2020,Angola, ,AGO,,"REF,ASY,IDP,STA,OOC,HST,OIP","The numbers refer to mid-2020, as data for end-2020 was not available at time of publication.","Цифри стосуються середини 2020 року, оскільки на момент публікації дані на кінець 2020 року були недоступні."
2025,Austria, ,AUT,,REF,"Official statistics on the size of the refugee population are not available. UNHCR refugee population estimates is based on the cumulative number of recognized asylum-seekers over the past 10 years, plus the reported number of beneficiaries of Temporary Protection in the country by mid-2025.","Офіційної статистики щодо кількості біженців немає. Оцінки УВКБ ООН щодо кількості біженців базуються на загальній кількості визнаних шукачів притулку за останні 10 років, а також на повідомлену кількість бенефіціарів тимчасового захисту в країні до середини 2025 року."
2023,Italy, ,ITA,,REF,"The number of refugees was rebased using updated data on the number of residence permit holder with refugee status and temporary protection holders by the end of 2022, available from Eurostat.","Кількість біженців було перераховано з використанням оновлених даних щодо кількості власників посвідки на проживання зі статусом біженця та тих, хто отримав тимчасовий захист, на кінець 2022 року, доступних від Євростату."
2018,Nauru, ,NRU,,"REF,ASY,IDP,STA,OOC,HST,OIP",The data was provided by the Government on 9 January 2019.,Дані були надані Урядом 9 січня 2019 року.
2024,Colombia, ,COL,,IDP,"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.7 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (7 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 7 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/.","Національний реєстр жертв Колумбії містить дані про кількість жертв переміщення, яка продовжує зростати, враховуючи, що жертви продовжують реєструватися в країні. Таким чином, загальна кількість осіб, визнаних жертвами переміщення (понад 8,7 мільйона), включає кількість ВПО, які підлягають догляду та/або відшкодуванню, тобто тих, хто відповідає вимогам щодо доступу до заходів догляду та відшкодування, встановленим колумбійським Законом 1448 (7 мільйонів). Кількість жертв переміщення, які померли, прямих жертв насильницького зникнення та вбивства, а також інших жертв, які з різних причин не можуть ефективно отримати доступ до цих заходів, визначено як такі, що не підлягають уваги чи відшкодуванню, і тому не включені до цифри в 7 мільйонів. Цифра постійно оновлюється, враховуючи, що за юридичним визначенням жертви мають до двох років, щоб подати декларацію та бути внесеними до системи реєстру. Перегляньте резюме: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/."
2021,Albania, ,ALB,,STA,"From various sources such as civil status offices, health institutions, schools, municipal child protection units, and social services, UNHCR estimates the number of people with undetermined nationality (at risk of statelessness).","З різних джерел, таких як відділи цивільного стану, заклади охорони здоров’я, школи, муніципальні відділи захисту дітей та соціальні служби, УВКБ ООН оцінює кількість людей з невизначеним громадянством (під загрозою втрати громадянства)."
2018,Germany, ,DEU,,STA,This figure is based on the number of stateless persons registered in the German Central Aliens Register as being “stateless”. The number of stateless persons counted as asylum seekers as well as the number of stateless counted under “refugee population” have been deducted. Persons registered under the category “undefined nationality” are not included in the statistics.,"Ця цифра базується на кількості осіб без громадянства, зареєстрованих у Центральному реєстрі іноземців Німеччини як «апатриди». Кількість осіб без громадянства, зарахованих до шукачів притулку, а також кількість осіб без громадянства, зарахованих до «біженців», були вираховані. Особи, зареєстровані за категорією «невизначеної національності», до статистики не включаються."
2020,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 874 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Indonesia for the first time in 2019. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.","Повідомлена загальна кількість безгромадянства стосується 874 осіб без громадянства етнічної приналежності до рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, переважно зі штату Ракхайн. Статистична звітність УВКБ ООН, як правило, дотримується методології, яка повідомляє лише про один правовий статус для кожної відповідної особи. Однак через чисельність рохінджа без громадянства, переміщеного з М’янми, УВКБ ООН вважає важливим відобразити подвійний статус цієї групи населення як переміщених осіб, так і осіб без громадянства. Цей підхід вперше використовується для Індонезії в 2019 році. Є також ознаки того, що існує потенційно значна кількість непереміщених осіб без громадянства, щодо яких немає даних."
2025,Italy, ,ITA,,REF,"The total number of refugees by mid-2025 is an estimation based on the data on recognized refugees by end-2024, adding the recognitions during the first half of 2025 and deducting the recognitions during the first half of 2015, to which the total number of temporary protection status holders by mid-year was added.","Загальна кількість біженців до середини 2025 року – це оцінка, яка ґрунтується на даних про визнаних біженців до кінця 2024 року, додаючи визнання протягом першої половини 2025 року та вираховуючи визнання протягом першої половини 2015 року, до яких додається загальна кількість осіб, які отримали статус тимчасового захисту до середини року."
2023 - 2024,United States of America, ,USA,,REF,The United States of America has also offered temporary status in certain circumstances to people in need of international protection. UNHCR is in discussions with the U.S. government about how to best reflect such datapoints for all relevant populations in future reporting cycles.,"Сполучені Штати Америки також запропонували тимчасовий статус за певних обставин людям, які потребують міжнародного захисту. УВКБ ООН обговорює з урядом США спосіб найкращого відображення таких даних для всіх відповідних груп у майбутніх циклах звітності."
2023,Pakistan,Afghanistan,PAK,AFG,REF,"The 2.0 million refugees include around 1,371,400 registered refugees and around 143,900 unregistered members of registered families who were recorded through the documentation renewal and information verification exercise (DRIVE) and are being verified at the time of reporting. It also includes an estimated 472,900 Afghans who sought asylum in Pakistan, following transition in Afghanistan in August 2021. In total, some 600,000 Afghans have arrived in Pakistan since then, according to the Government estimates.","2,0 мільйона біженців включають близько 1 371 400 зареєстрованих біженців і близько 143 900 незареєстрованих членів зареєстрованих сімей, які були зареєстровані під час оновлення документів і перевірки інформації (DRIVE) і перевіряються на момент звітування. Сюди також входять приблизно 472 900 афганців, які попросили притулку в Пакистані після переходу в Афганістан у серпні 2021 року. Загалом, за оцінками уряду, з того часу до Пакистану прибуло близько 600 000 афганців."
2024 - 2025,Saudi Arabia, ,SAU,,ASY,"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 3,900 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.","УВКБ ООН реєструє лише тих шукачів притулку, яким загрожує гострий або неминучий захист. Крім того, є близько 3900 інших шукачів притулку, які пройшли індивідуальну оцінку, поради та поради щодо інформування УВКБ ООН про будь-які зміни в їхній ситуації, які б виправдали рішення про їх реєстрацію."
2025,Nepal, ,NPL,,STA,"Various studies estimate that a significant number of individuals originally from Nepal lack citizenship certificates. While these individuals originally from Nepal are not all necessarily stateless, UNHCR has been working closely with the Government of Nepal and partners to address this situation. 477 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State, are reported in Nepal.","Згідно з різними дослідженнями, значна кількість вихідців з Непалу не мають сертифікатів про громадянство. Хоча ці особи, родом з Непалу, не обов’язково є особами без громадянства, УВКБ ООН тісно співпрацює з урядом Непалу та партнерами, щоб вирішити цю ситуацію. У Непалі повідомляється про 477 осіб без громадянства етнічної приналежності до рохінджа, які також вважаються біженцями або шукачами притулку з М’янми, переважно зі штату Ракхайн."
